epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,93.9071,1.85023,5.28043,0.00368,0.79196,0.61187,0.70488,0.33266,1.98013,1.80428,0.00551,0.00066055,0.00066055,0.00066055
2,173.136,2.0507,1.73945,0.00467,0.72368,0.57104,0.61985,0.28051,2.11117,1.77658,0.00583,0.00128342,0.00128342,0.00128342
3,252.099,2.15745,1.5983,0.00502,0.81223,0.64193,0.73223,0.35715,2.00696,1.32287,0.00592,0.00186229,0.00186229,0.00186229
4,330.608,2.18675,1.51968,0.00563,0.81303,0.6347,0.72129,0.32273,2.08999,1.30753,0.00635,0.001802,0.001802,0.001802
5,408.869,2.08952,1.3498,0.00483,0.84228,0.64012,0.73911,0.32721,2.10543,1.29255,0.00697,0.001736,0.001736,0.001736
6,487.345,2.075,1.32131,0.00457,0.84784,0.66324,0.75449,0.36534,1.98035,1.19193,0.00584,0.00167,0.00167,0.00167
7,565.947,2.03439,1.28213,0.00486,0.89119,0.70776,0.78845,0.40074,1.88071,1.07595,0.00601,0.001604,0.001604,0.001604
8,644.463,2.01994,1.19983,0.0048,0.85912,0.71575,0.79318,0.40532,1.86603,1.11261,0.00504,0.001538,0.001538,0.001538
9,723.001,1.99606,1.17714,0.00474,0.8728,0.73402,0.81768,0.42483,1.84151,1.03509,0.00536,0.001472,0.001472,0.001472
10,801.433,1.92516,1.12801,0.00437,0.84572,0.71918,0.77721,0.36672,1.97315,1.2679,0.006,0.001406,0.001406,0.001406
11,879.854,1.84669,1.05449,0.00403,0.88672,0.73275,0.80454,0.43391,1.7784,1.06728,0.0051,0.00134,0.00134,0.00134
12,958.197,1.88228,1.07888,0.00409,0.91526,0.75799,0.84016,0.45353,1.75879,0.91344,0.00512,0.001274,0.001274,0.001274
13,1036.59,1.84911,0.99245,0.00421,0.92513,0.74759,0.83859,0.43525,1.81417,0.90462,0.00501,0.001208,0.001208,0.001208
14,1114.87,1.82601,0.94818,0.00433,0.89635,0.77169,0.84199,0.44304,1.78545,0.872,0.00474,0.001142,0.001142,0.001142
15,1193.17,1.76216,0.90119,0.00391,0.92203,0.76946,0.84745,0.47835,1.67533,0.84173,0.0046,0.001076,0.001076,0.001076
16,1271.42,1.74004,0.88385,0.00388,0.90872,0.80684,0.86501,0.46918,1.73158,0.81777,0.00466,0.00101,0.00101,0.00101
17,1349.63,1.74137,0.86691,0.00389,0.92154,0.78425,0.8607,0.47888,1.72129,0.81033,0.00476,0.000944,0.000944,0.000944
18,1428.06,1.70726,0.83518,0.00383,0.92774,0.8061,0.8759,0.50476,1.63364,0.76332,0.00456,0.000878,0.000878,0.000878
19,1506.41,1.68134,0.76397,0.00338,0.92028,0.81702,0.87369,0.49992,1.67255,0.75502,0.00455,0.000812,0.000812,0.000812
20,1584.64,1.65917,0.78694,0.00354,0.91407,0.83105,0.88382,0.51954,1.58498,0.71772,0.00444,0.000746,0.000746,0.000746
21,1674.24,1.61367,0.71457,0.0036,0.93343,0.81164,0.88607,0.52838,1.53959,0.68091,0.00431,0.00068,0.00068,0.00068
22,1752.48,1.58841,0.66087,0.00364,0.94398,0.78196,0.87641,0.50685,1.63187,0.70463,0.00447,0.000614,0.000614,0.000614
23,1830.62,1.57079,0.66222,0.00347,0.92564,0.83219,0.89083,0.53122,1.57154,0.66507,0.00421,0.000548,0.000548,0.000548
24,1908.81,1.56349,0.64549,0.00332,0.94114,0.82139,0.88301,0.49751,1.6775,0.68585,0.00451,0.000482,0.000482,0.000482
25,1987.04,1.53769,0.61786,0.00344,0.91328,0.85731,0.89102,0.53574,1.54319,0.65414,0.00421,0.000416,0.000416,0.000416
26,2065.17,1.5066,0.6089,0.00317,0.93481,0.83562,0.89033,0.51185,1.62681,0.66516,0.00429,0.00035,0.00035,0.00035
27,2143.33,1.51307,0.60433,0.00325,0.95454,0.84247,0.89314,0.53581,1.56307,0.63852,0.00417,0.000284,0.000284,0.000284
28,2221.52,1.45741,0.58688,0.00294,0.94161,0.84687,0.89346,0.55642,1.49707,0.61268,0.00401,0.000218,0.000218,0.000218
29,2299.7,1.46325,0.56245,0.003,0.94892,0.8379,0.89929,0.55293,1.50731,0.6,0.00396,0.000152,0.000152,0.000152
30,2378.02,1.44908,0.55544,0.00284,0.95192,0.83626,0.89686,0.54892,1.51878,0.60361,0.00397,8.6e-05,8.6e-05,8.6e-05
