epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,199.729,1.67412,8.52836,0.00334,0.78296,0.62557,0.71077,0.36938,1.68925,2.48382,0.00495,0.00066055,0.00066055,0.00066055
2,380.183,1.85716,1.65159,0.00442,0.7672,0.66963,0.70139,0.35078,1.93202,1.68795,0.00627,0.00128342,0.00128342,0.00128342
3,557.894,1.92959,1.46066,0.00472,0.84092,0.68607,0.77711,0.40057,1.86131,1.51431,0.00585,0.00186229,0.00186229,0.00186229
4,735.574,1.94884,1.39062,0.00501,0.83522,0.64726,0.74108,0.38468,1.86816,1.40944,0.00603,0.001802,0.001802,0.001802
5,913.2,1.91847,1.28345,0.00442,0.85373,0.71347,0.78731,0.3809,1.98632,1.4024,0.00612,0.001736,0.001736,0.001736
6,1090.76,1.8632,1.18177,0.00411,0.89,0.71575,0.81338,0.44467,1.73765,1.06918,0.00561,0.00167,0.00167,0.00167
7,1269.34,1.81224,1.1594,0.00452,0.85592,0.72603,0.80093,0.47539,1.62319,1.05186,0.0051,0.001604,0.001604,0.001604
8,1447.08,1.76474,1.10669,0.00426,0.88601,0.77196,0.84806,0.48186,1.63533,1.14726,0.00503,0.001538,0.001538,0.001538
9,1624.74,1.73944,1.05602,0.00421,0.9175,0.77169,0.85252,0.47206,1.70072,0.95724,0.00571,0.001472,0.001472,0.001472
10,1802.62,1.73769,0.98875,0.00396,0.89773,0.79164,0.86214,0.49035,1.62221,0.85737,0.00506,0.001406,0.001406,0.001406
11,1980.31,1.63684,0.93927,0.00375,0.90702,0.79069,0.86547,0.49181,1.65504,0.86244,0.0051,0.00134,0.00134,0.00134
12,2157.91,1.64517,0.92676,0.00369,0.91476,0.80853,0.87923,0.52105,1.55364,0.80921,0.00478,0.001274,0.001274,0.001274
13,2335.52,1.60607,0.86223,0.00384,0.94204,0.79909,0.88144,0.54299,1.49141,0.84577,0.005,0.001208,0.001208,0.001208
14,2513.2,1.58469,0.81166,0.00384,0.94325,0.81582,0.89869,0.53007,1.53744,0.74993,0.00473,0.001142,0.001142,0.001142
15,2690.77,1.56701,0.80041,0.00361,0.94631,0.78471,0.87195,0.51164,1.62335,0.80576,0.00516,0.001076,0.001076,0.001076
16,2868.31,1.56489,0.74748,0.00367,0.92875,0.83447,0.90031,0.53199,1.52412,0.73371,0.0046,0.00101,0.00101,0.00101
17,3045.87,1.53857,0.7688,0.00357,0.94541,0.81621,0.9078,0.56604,1.42015,0.69025,0.00412,0.000944,0.000944,0.000944
18,3223.5,1.46199,0.70645,0.0035,0.95655,0.84361,0.91035,0.57116,1.43148,0.68297,0.00433,0.000878,0.000878,0.000878
19,3401.33,1.48756,0.67587,0.00314,0.95936,0.86236,0.92255,0.5803,1.38941,0.61502,0.00409,0.000812,0.000812,0.000812
20,3578.95,1.44312,0.66979,0.0032,0.9602,0.8538,0.91502,0.58206,1.41164,0.62699,0.00403,0.000746,0.000746,0.000746
21,3769.33,1.41837,0.57433,0.00329,0.96095,0.85502,0.92405,0.58678,1.41879,0.58255,0.00424,0.00068,0.00068,0.00068
22,3947.61,1.38524,0.53988,0.00336,0.93587,0.87215,0.91959,0.57333,1.44715,0.58629,0.00432,0.000614,0.000614,0.000614
23,4125.08,1.35175,0.53492,0.00321,0.94878,0.86699,0.9283,0.5776,1.42489,0.56375,0.00397,0.000548,0.000548,0.000548
24,4302.58,1.35247,0.52315,0.00303,0.95843,0.8686,0.92313,0.57931,1.42807,0.57456,0.00414,0.000482,0.000482,0.000482
25,4480.09,1.3458,0.51012,0.00319,0.96242,0.879,0.9285,0.60464,1.35563,0.55302,0.00412,0.000416,0.000416,0.000416
26,4657.61,1.3088,0.49044,0.00301,0.93672,0.87878,0.92766,0.60661,1.33275,0.54714,0.00379,0.00035,0.00035,0.00035
27,4952.93,1.27643,0.46793,0.0029,0.95668,0.88584,0.9359,0.61267,1.33595,0.52265,0.00384,0.000284,0.000284,0.000284
28,5134.42,1.26612,0.44305,0.00282,0.94005,0.89504,0.93311,0.60867,1.33813,0.52085,0.00381,0.000218,0.000218,0.000218
29,5313.73,1.27232,0.4581,0.00285,0.95662,0.88114,0.93298,0.61458,1.31269,0.50852,0.00367,0.000152,0.000152,0.000152
30,5492.85,1.26115,0.45926,0.00267,0.96039,0.88564,0.93619,0.62024,1.31537,0.49695,0.00369,8.6e-05,8.6e-05,8.6e-05
