split,image_width,image_height,bbox_width,bbox_height,bbox_ratio
train,550,412,125,90,0.04964695498676081
train,1000,667,493,384,0.28382608695652173
train,511,317,317,204,0.39921722113502933
train,479,261,276,166,0.36647229621097593
train,579,388,340,197,0.29815002759824083
train,451,258,102,49,0.04295364306708606
train,477,246,283,120,0.28941044127422405
train,600,428,109,74,0.031409657320872274
train,600,422,99,53,0.02072274881516588
train,500,298,293,171,0.33626174496644295
train,560,412,327,159,0.2253510748959778
train,478,280,281,120,0.25194261805140467
train,600,420,359,204,0.2906190476190476
train,479,261,276,164,0.36205696734096415
train,660,330,310,203,0.2889348025711662
train,645,323,100,75,0.03599971200230398
train,240,160,64,53,0.08833333333333333
train,940,626,240,120,0.04894296784718918
train,750,500,118,97,0.030522666666666667
train,1000,667,213,123,0.03927886056971514
train,1790,1080,124,90,0.005772811918063315
train,1790,1080,188,133,0.012933995447961928
train,800,534,383,245,0.21965121722846442
train,590,350,260,200,0.25181598062953997
train,960,635,162,166,0.04411417322834646
train,660,398,367,224,0.31295873305923555
train,634,423,346,254,0.32770282867604833
train,640,480,338,231,0.25416015625
train,800,601,316,230,0.1511647254575707
train,852,480,156,144,0.054929577464788736
train,852,480,173,110,0.046532668231611896
train,800,450,347,327,0.31519166666666665
train,634,420,362,281,0.3820114165540033
train,350,350,245,198,0.396
train,776,517,72,54,0.009691120461026142
train,600,404,299,110,0.13568481848184819
train,720,405,234,160,0.12839506172839507
train,630,420,270,202,0.20612244897959184
train,634,420,453,150,0.25518251464623704
train,800,400,204,186,0.118575
train,923,498,455,344,0.34051699756773574
train,1280,853,712,301,0.19628516998827666
train,750,493,247,130,0.08684246112237999
train,610,380,84,38,0.01377049180327869
train,540,458,164,128,0.0848778909914281
train,640,320,274,241,0.322431640625
train,600,450,342,256,0.32426666666666665
train,960,540,511,349,0.34401813271604936
train,580,387,276,244,0.3000267308206362
train,768,432,297,159,0.142333984375
train,980,490,364,265,0.20087463556851312
train,388,292,282,196,0.4878548227651462
train,852,480,176,129,0.05551643192488263
train,650,434,288,177,0.1807018787663949
train,600,420,315,247,0.30875
train,2146,1413,925,536,0.16350635722478463
train,1024,576,586,464,0.4609917534722222
train,700,394,225,170,0.1386874546773024
train,640,360,256,224,0.24888888888888888
train,3856,2571,1828,1679,0.30959061411111166
train,640,394,403,228,0.36438769035533
train,1024,576,724,275,0.3375583224826389
train,1500,1000,917,713,0.4358806666666667
train,1000,1000,839,630,0.52857
train,640,485,356,320,0.3670103092783505
train,736,491,76,61,0.012828743469405827
train,736,491,96,74,0.01965819534224741
train,736,491,118,90,0.029387673780217834
train,736,491,116,69,0.02214867617107943
train,736,491,124,91,0.03122509519171168
train,736,491,185,122,0.06245572478526521
train,1200,704,702,428,0.3556534090909091
train,768,512,430,241,0.2635447184244792
train,620,349,442,317,0.647536740918754
train,1440,612,132,79,0.011832788671023966
train,2000,1428,1164,903,0.3680294117647059
train,1500,1000,887,605,0.35775666666666667
train,960,653,614,518,0.5073570699336396
train,580,325,341,165,0.2984880636604775
train,736,537,632,439,0.7019876933041859
train,573,360,325,229,0.3607960054295133
train,5616,3744,3366,2144,0.34322266053035283
train,1280,720,683,506,0.37499782986111113
train,1920,1080,1739,773,0.6482672646604938
train,1500,844,975,613,0.4720971563981043
train,1920,1080,882,682,0.29008680555555555
train,615,409,399,236,0.3743574452859443
train,1000,519,584,367,0.4129633911368015
train,660,371,366,269,0.4020828228375398
train,1200,742,554,459,0.28558625336927224
train,530,298,358,256,0.5802709889831582
train,471,284,273,177,0.36124069256302144
train,800,450,260,235,0.16972222222222222
train,815,360,519,271,0.4793762781186094
train,3096,2064,790,512,0.0632974781162991
train,3096,2064,698,314,0.034298444604691225
train,1200,630,486,392,0.252
train,660,371,203,187,0.1550314465408805
train,1920,1080,1040,710,0.3560956790123457
train,1050,550,681,369,0.43513246753246754
train,620,300,321,214,0.36932258064516127
train,1268,760,760,492,0.38801261829652994
train,407,418,329,242,0.46799431009957326
train,392,392,99,55,0.0354344543940025
train,660,371,385,264,0.41509433962264153
train,1024,640,550,367,0.3079986572265625
train,736,412,376,216,0.2678345293372731
train,1024,467,209,119,0.052008749330835116
train,465,234,60,44,0.0242624758753791
train,950,634,321,309,0.1646837124356633
train,640,360,261,227,0.2571484375
train,1440,576,582,309,0.21681857638888888
train,984,500,389,349,0.2759369918699187
train,780,585,426,225,0.21005917159763313
train,1280,720,231,188,0.04712239583333333
train,1433,806,706,228,0.13936647509346337
train,745,497,312,229,0.19296449839979474
train,640,426,463,166,0.28190287558685445
train,4747,3248,3570,1871,0.43321825762913785
train,766,400,112,80,0.029242819843342035
train,2400,1800,433,267,0.026761805555555556
train,1184,666,130,93,0.015332055028000974
train,1024,655,369,198,0.10893070133587786
train,1180,842,525,287,0.15165163653931318
train,1200,600,409,240,0.13633333333333333
train,1024,682,67,57,0.0054684636180351905
train,700,450,257,215,0.1754126984126984
train,530,353,383,236,0.48312576834678495
train,640,425,171,140,0.08801470588235294
train,530,299,78,70,0.034454470877768664
train,1200,600,149,59,0.012209722222222223
train,700,467,111,71,0.024108289996940962
train,1280,800,329,195,0.0626513671875
train,750,421,190,174,0.10470308788598574
train,1024,683,203,138,0.040054790446559296
train,960,540,99,67,0.012795138888888889
train,800,500,355,209,0.1854875
train,1024,569,62,34,0.003617915202108963
train,740,462,93,54,0.01468936468936469
train,839,572,562,235,0.27519857972778117
train,870,580,569,371,0.4183491874752279
train,590,332,201,105,0.10774453747192159
train,1096,616,349,245,0.12664855673523556
train,400,400,175,126,0.1378125
train,1500,981,198,132,0.017761467889908258
train,590,332,210,171,0.1833265264447621
train,610,343,60,39,0.0111838646465612
train,610,343,149,91,0.06480428236868518
train,761,1024,221,107,0.03034530018068331
train,640,360,140,73,0.04435763888888889
train,810,540,166,98,0.03719250114311843
train,1024,682,109,70,0.010925471957478006
train,700,467,138,121,0.051079840929947995
train,800,450,258,143,0.10248333333333333
train,550,367,176,118,0.1028882833787466
train,720,720,80,60,0.009259259259259259
train,1000,750,307,183,0.074908
train,300,182,130,78,0.18571428571428572
train,1280,887,508,352,0.15749718151071027
train,1294,728,301,161,0.05144305076685293
train,700,420,288,246,0.2409795918367347
train,512,341,116,103,0.06843383431085044
train,1280,512,121,88,0.01624755859375
train,1280,512,160,118,0.02880859375
train,1280,512,201,156,0.047845458984375
train,1280,512,191,90,0.0262298583984375
train,1280,512,212,158,0.05111083984375
train,590,393,117,65,0.032798550912149046
train,590,393,69,37,0.011010480010350628
train,624,351,231,140,0.14765505150120534
train,1000,667,210,127,0.039985007496251876
train,1800,1424,881,396,0.13610955056179774
train,1449,966,894,697,0.44516886779916753
train,620,349,102,61,0.02875496811165542
train,1280,720,59,59,0.0037771267361111113
train,1280,720,254,117,0.03224609375
train,1280,720,206,77,0.01721137152777778
train,1280,720,180,132,0.02578125
train,1280,720,354,222,0.0852734375
train,1280,720,153,99,0.016435546875
train,1280,720,307,140,0.04663628472222222
train,1280,720,354,172,0.06606770833333334
train,1280,720,197,111,0.023727213541666667
train,1280,720,188,102,0.02080729166666667
train,1280,720,299,113,0.03666124131944445
train,1280,720,369,185,0.074072265625
train,1280,720,195,189,0.039990234375
train,1280,720,163,91,0.016094835069444445
train,1280,720,188,137,0.027947048611111112
train,1280,720,194,169,0.03557508680555556
train,1280,720,161,118,0.020614149305555555
train,1280,720,139,100,0.015082465277777778
train,1280,720,237,121,0.031116536458333333
train,1280,720,704,325,0.2482638888888889
train,1280,720,437,252,0.1194921875
train,1280,720,380,158,0.06514756944444444
train,1280,720,195,134,0.028352864583333335
train,1280,720,102,71,0.007858072916666667
train,1280,720,348,281,0.10610677083333334
train,1280,720,213,148,0.034205729166666664
train,1280,720,47,31,0.0015809461805555555
train,1280,720,73,63,0.004990234375
train,1280,720,480,330,0.171875
train,1280,720,117,73,0.009267578125
train,1280,720,123,82,0.010944010416666667
train,1280,720,32,38,0.0013194444444444445
